"","date","iso3c","iso2c","country","gdp_per_cap","pop_size","sec_enrol","mort","democracy"
"1",2000,"AFG","AF","Afghanistan",180.188369406647,NA,131.6,19542982,0
"2",2001,"AFG","AF","Afghanistan",142.903364432457,14.4715099334717,127.4,19688632,0
"3",2002,"AFG","AF","Afghanistan",182.174038211707,NA,123,21000256,0
"4",2003,"AFG","AF","Afghanistan",199.643226536823,14.078049659729,118.5,22645130,0
"5",2004,"AFG","AF","Afghanistan",221.830530720307,19.2631397247314,114,23553551,0
"6",2005,"AFG","AF","Afghanistan",254.115276010485,20.3119602203369,109.5,24411191,0
"7",2006,"AFG","AF","Afghanistan",274.01539233406,29.6913509368896,105,25442944,0
"8",2007,"AFG","AF","Afghanistan",376.318299640418,29.0891704559326,100.6,25903301,0
"9",2008,"AFG","AF","Afghanistan",382.533807216693,39.090030670166,96.3,26427199,0
"10",2009,"AFG","AF","Afghanistan",453.387385142577,44.3971710205078,92.3,27385307,0
"11",2010,"AFG","AF","Afghanistan",562.499221552971,50.413688659668,88.4,28189672,0
"12",2011,"AFG","AF","Afghanistan",608.738850364613,52.198429107666,84.7,29249157,0
"13",2012,"AFG","AF","Afghanistan",653.417474910283,54.2063903808594,81.3,30466479,0
"14",2013,"AFG","AF","Afghanistan",638.73318101404,54.7542190551758,78.2,31541209,0
"15",2014,"AFG","AF","Afghanistan",626.512929086139,54.235481262207,75.3,32716210,0
"16",2015,"AFG","AF","Afghanistan",566.881129708434,53.2851409912109,72.7,33753499,0
"17",2016,"AFG","AF","Afghanistan",523.053011984748,53.5063400268555,70.2,34636207,0
"18",2017,"AFG","AF","Afghanistan",526.140801025756,55.4021492004395,67.9,35643418,0
"19",2018,"AFG","AF","Afghanistan",492.090630986151,57.0392990112305,65.8,36686784,0
"20",2019,"AFG","AF","Afghanistan",497.741431256813,NA,63.6,37769499,0
"21",2020,"AFG","AF","Afghanistan",512.055098005672,NA,61.6,38972230,0
"22",2021,"AFG","AF","Afghanistan",355.777826392648,NA,59.6,40099462,NA
"23",2022,"AFG","AF","Afghanistan",352.603733092107,NA,57.7,41128771,NA
"24",2000,"BRA","BR","Brazil",3726.81166909716,NA,34.6,175873720,1
"25",2001,"BRA","BR","Brazil",3142.23513974908,NA,32.4,178211881,1
"26",2002,"BRA","BR","Brazil",2824.71541300038,NA,30.3,180476685,1
"27",2003,"BRA","BR","Brazil",3056.64979769494,NA,28.3,182629278,1
"28",2004,"BRA","BR","Brazil",3623.22446166485,NA,26.4,184722043,1
"29",2005,"BRA","BR","Brazil",4773.26855132261,NA,24.7,186797334,1
"30",2006,"BRA","BR","Brazil",5866.02341427165,NA,23.2,188820682,1
"31",2007,"BRA","BR","Brazil",7323.19159375818,NA,21.8,190779453,1
"32",2008,"BRA","BR","Brazil",8801.75787553359,NA,20.6,192672317,1
"33",2009,"BRA","BR","Brazil",8569.90254736072,NA,19.5,194517549,1
"34",2010,"BRA","BR","Brazil",11249.2918904352,NA,18.6,196353492,1
"35",2011,"BRA","BR","Brazil",13200.5562348789,NA,17.9,198185302,1
"36",2012,"BRA","BR","Brazil",12327.5131013057,94.3209762573242,17.2,199977707,1
"37",2013,"BRA","BR","Brazil",12258.5657091866,103.917678833008,16.7,201721767,1
"38",2014,"BRA","BR","Brazil",12071.4044637296,102.635528564453,16.3,203459650,1
"39",2015,"BRA","BR","Brazil",8783.2154236384,100.920516967773,15.9,205188205,1
"40",2016,"BRA","BR","Brazil",8680.73646873878,102.569511413574,16.7,206859578,1
"41",2017,"BRA","BR","Brazil",9896.71889500528,103.015960693359,15.3,208504960,1
"42",2018,"BRA","BR","Brazil",9121.02099480377,105.00707244873,15,210166592,1
"43",2019,"BRA","BR","Brazil",8845.32414932264,103.953277587891,14.8,211782878,1
"44",2020,"BRA","BR","Brazil",6923.6999117682,104.125999450684,14.5,213196304,1
"45",2021,"BRA","BR","Brazil",7794.88097933152,106.651901245117,14.3,214326223,NA
"46",2022,"BRA","BR","Brazil",9065.49733395404,NA,14,215313498,NA
"47",2000,"ITA","IT","Italy",20137.5912217673,94.7994384765625,5.6,56942108,1
"48",2001,"ITA","IT","Italy",20500.9543995672,97.2841567993164,5.3,56974100,1
"49",2002,"ITA","IT","Italy",22376.2978989329,98.8140716552734,5,57059007,1
"50",2003,"ITA","IT","Italy",27526.3224609957,99.5260696411133,4.8,57313203,1
"51",2004,"ITA","IT","Italy",31317.2007943296,99.0745010375977,4.6,57685327,1
"52",2005,"ITA","IT","Italy",32055.0920757503,99.2049789428711,4.5,57969484,1
"53",2006,"ITA","IT","Italy",33529.7266014361,99.5330429077148,4.3,58143979,1
"54",2007,"ITA","IT","Italy",37870.7475070969,99.8370208740234,4.2,58438310,1
"55",2008,"ITA","IT","Italy",40944.9124194678,100.290672302246,4.1,58826731,1
"56",2009,"ITA","IT","Italy",37226.7571935402,100.174812316895,4.1,59095365,1
"57",2010,"ITA","IT","Italy",36035.6449950691,101.400543212891,4,59277417,1
"58",2011,"ITA","IT","Italy",38649.6394836789,101.596008300781,3.9,59379449,1
"59",2012,"ITA","IT","Italy",35051.5212697703,100.44953918457,3.8,59539717,1
"60",2013,"ITA","IT","Italy",35560.0814062288,100.972801208496,3.7,60233948,1
"61",2014,"ITA","IT","Italy",35565.7213771496,101.121238708496,3.6,60789140,1
"62",2015,"ITA","IT","Italy",30242.3861352184,101.227523803711,3.5,60730582,1
"63",2016,"ITA","IT","Italy",30960.7315088902,100.742156982422,3.4,60627498,1
"64",2017,"ITA","IT","Italy",32406.7203150134,101.009132385254,3.3,60536709,1
"65",2018,"ITA","IT","Italy",34622.1696664741,101.525367736816,3.2,60421760,1
"66",2019,"ITA","IT","Italy",33673.7509627421,101.740547180176,3,59729081,1
"67",2020,"ITA","IT","Italy",31922.9191626183,101.834747314453,2.9,59438851,1
"68",2021,"ITA","IT","Italy",36441.0598048734,102.331283569336,2.8,59133173,NA
"69",2022,"ITA","IT","Italy",35068.8359738449,NA,2.6,58940425,NA
"70",2000,"NGA","NG","Nigeria",563.047086217561,24.7493305206299,182.5,122851984,0
"71",2001,"NGA","NG","Nigeria",583.085838768235,27.319450378418,177,126152678,0
