"","iso2c","iso3c","country","date","NY.GDP.PCAP.CD","SE.SEC.ENRR","SH.DYN.MORT","SP.POP.TOTL"
"1","AF","AFG","Afghanistan",2000,180.188369406647,NA,131.6,19542982
"2","AF","AFG","Afghanistan",2001,142.903364432457,14.4715099334717,127.4,19688632
"3","AF","AFG","Afghanistan",2002,182.174038211707,NA,123,21000256
"4","AF","AFG","Afghanistan",2003,199.643226536823,14.078049659729,118.5,22645130
"5","AF","AFG","Afghanistan",2004,221.830530720307,19.2631397247314,114,23553551
"6","AF","AFG","Afghanistan",2005,254.115276010485,20.3119602203369,109.5,24411191
"7","AF","AFG","Afghanistan",2006,274.01539233406,29.6913509368896,105,25442944
"8","AF","AFG","Afghanistan",2007,376.318299640418,29.0891704559326,100.6,25903301
"9","AF","AFG","Afghanistan",2008,382.533807216693,39.090030670166,96.3,26427199
"10","AF","AFG","Afghanistan",2009,453.387385142577,44.3971710205078,92.3,27385307
"11","AF","AFG","Afghanistan",2010,562.499221552971,50.413688659668,88.4,28189672
"12","AF","AFG","Afghanistan",2011,608.738850364613,52.198429107666,84.7,29249157
"13","AF","AFG","Afghanistan",2012,653.417474910283,54.2063903808594,81.3,30466479
"14","AF","AFG","Afghanistan",2013,638.73318101404,54.7542190551758,78.2,31541209
"15","AF","AFG","Afghanistan",2014,626.512929086139,54.235481262207,75.3,32716210
"16","AF","AFG","Afghanistan",2015,566.881129708434,53.2851409912109,72.7,33753499
"17","AF","AFG","Afghanistan",2016,523.053011984748,53.5063400268555,70.2,34636207
"18","AF","AFG","Afghanistan",2017,526.140801025756,55.4021492004395,67.9,35643418
"19","AF","AFG","Afghanistan",2018,492.090630986151,57.0392990112305,65.8,36686784
"20","AF","AFG","Afghanistan",2019,497.741431256813,NA,63.6,37769499
"21","AF","AFG","Afghanistan",2020,512.055098005672,NA,61.6,38972230
"22","AF","AFG","Afghanistan",2021,355.777826392648,NA,59.6,40099462
"23","AF","AFG","Afghanistan",2022,352.603733092107,NA,57.7,41128771
"24","AF","AFG","Afghanistan",2023,NA,NA,NA,42239854
"25","BR","BRA","Brazil",2000,3726.81166909716,NA,34.6,175873720
"26","BR","BRA","Brazil",2001,3142.23513974908,NA,32.4,178211881
"27","BR","BRA","Brazil",2002,2824.71541300038,NA,30.3,180476685
"28","BR","BRA","Brazil",2003,3056.64979769494,NA,28.3,182629278
"29","BR","BRA","Brazil",2004,3623.22446166485,NA,26.4,184722043
"30","BR","BRA","Brazil",2005,4773.26855132261,NA,24.7,186797334
"31","BR","BRA","Brazil",2006,5866.02341427165,NA,23.2,188820682
"32","BR","BRA","Brazil",2007,7323.19159375818,NA,21.8,190779453
"33","BR","BRA","Brazil",2008,8801.75787553359,NA,20.6,192672317
"34","BR","BRA","Brazil",2009,8569.90254736072,NA,19.5,194517549
"35","BR","BRA","Brazil",2010,11249.2918904352,NA,18.6,196353492
"36","BR","BRA","Brazil",2011,13200.5562348789,NA,17.9,198185302
"37","BR","BRA","Brazil",2012,12327.5131013057,94.3209762573242,17.2,199977707
"38","BR","BRA","Brazil",2013,12258.5657091866,103.917678833008,16.7,201721767
"39","BR","BRA","Brazil",2014,12071.4044637296,102.635528564453,16.3,203459650
"40","BR","BRA","Brazil",2015,8783.2154236384,100.920516967773,15.9,205188205
"41","BR","BRA","Brazil",2016,8680.73646873878,102.569511413574,16.7,206859578
"42","BR","BRA","Brazil",2017,9896.71889500528,103.015960693359,15.3,208504960
"43","BR","BRA","Brazil",2018,9121.02099480377,105.00707244873,15,210166592
"44","BR","BRA","Brazil",2019,8845.32414932264,103.953277587891,14.8,211782878
"45","BR","BRA","Brazil",2020,6923.6999117682,104.125999450684,14.5,213196304
"46","BR","BRA","Brazil",2021,7794.88097933152,106.651901245117,14.3,214326223
"47","BR","BRA","Brazil",2022,9065.49733395404,NA,14,215313498
